,name,tramway_longitude,tramway_latitude
415,Köllnischer Platz,13.5686306,52.4447272
416,S Spindlersfeld,13.5624076,52.4457149
417,S+U Warschauer Straße,13.4484788,52.5048724
418,Landsberger Allee/Petersburger Straße,13.4457099,52.5257974
419,U Alexanderplatz,13.4143847,52.5219449
420,Am Friedrichshain,13.424138,52.5285131
421,Antonplatz,13.4524061,52.5485959
422,S Greifswalder Straße,13.4385364,52.5408786
423,Thomas-Mann-Straße,13.4410608,52.5430358
424,Sulzfelder Straße,13.4753656,52.5533884
425,Hohenschönhauser Straße,13.4742417,52.5352266
426,Jan-Petersen-Straße,13.5609668,52.5474117
427,Büschingstraße,13.4267728,52.5231328
428,Freizeitforum Marzahn,13.5569071,52.5459306
429,Meeraner Straße,13.5192567,52.5290091
430,Helene-Weigel-Platz,13.5434041,52.5259347
431,Beilsteiner Straße,13.5297264,52.5255039
432,S Springpfuhl,13.5360958,52.525709
433,Allee der Kosmonauten/Rhinstraße,13.5203097,52.5259142
434,Landsberger Allee/Rhinstraße,13.5170344,52.5358377
435,Boschpoler Straße,13.5486679,52.527324
436,Allee der Kosmonauten/Poelchaustraße,13.5520361,52.5339106
437,Zum Seeblick,13.6433356,52.3798516
438,Scharnweberstraße/Weichselstraße,13.4708034,52.5118973
439,Björnsonstraße,13.4030585,52.5544232
440,Osloer Straße/Prinzenallee,13.3832449,52.5559806
441,S Bornholmer Straße,13.3954269,52.5549382
442,Herzbergstraße/Siegfriedstraße,13.4997528,52.5255927
443,Rüdickenstraße,13.5097678,52.5599848
444,Galenusstraße,13.4285911,52.5821303
445,Pankower Straße,13.428851,52.5848774
446,S Pankow-Heinersdorf,13.4281593,52.5777355
447,Marienstraße/Pasewalker Straße,13.4313671,52.5922981
448,Pasewalker Straße/Blankenburger Weg,13.430514,52.5896961
449,Blankenfelder Straße,13.4313576,52.6020283
450,Rosenthaler Straße,13.4326986,52.5956687
451,Französisch Buchholz Kirche,13.4336533,52.6071368
452,Kuckhoffstraße,13.4029654,52.5840207
453,Nordend,13.4023403,52.5901593
454,Schillerstraße,13.4110511,52.5920987
455,Schillerstraße,13.41088,52.5923051
456,Kuckhoffstraße,13.403169,52.5836046
457,Bürgerpark Pankow,13.3984217,52.5714873
458,Bürgerpark Pankow,13.3983316,52.5713805
459,Stiftsweg,13.4156121,52.5727169
460,Am Iderfenngraben,13.3923698,52.5823524
461,Nordendstraße,13.3882789,52.588533
462,Rosenthal Nord,13.3726652,52.598664
463,Angerweg,13.3837136,52.591974
464,Hauptstraße/Friedrich-Engels-Straße,13.3763916,52.5970063
465,Wiesenwinkel,13.3810264,52.594371
466,Libauer Straße,13.4546946,52.5101841
467,Simplonstraße,13.4564928,52.5098432
468,Wühlischstraße/Gärtnerstraße,13.4602181,52.5089435
469,Niederbarnimstraße,13.4573531,52.5129045
470,Fürstenwalder Damm,13.6526972,52.452346
471,Fürstenwalder Damm/Müggelseedamm,13.6629783,52.4496666
472,Hartlebenstraße,13.6333365,52.4566173
473,Licht- und Luftbad Müggelsee,13.6708951,52.4477546
474,Strandbad Müggelsee,13.6774213,52.4458052
475,Wasserwerk Friedrichshagen,13.6415532,52.4561223
476,S+U Friedrichstraße,13.388415,52.5195641
477,S+U Pankow,13.4122949,52.5671025
478,U Vinetastraße,13.413232,52.5596168
479,Bahnhofstraße/Seelenbinderstraße,13.5769303,52.4554632
480,Bersarinplatz,13.4545077,52.5190126
481,Forckenbeckplatz,13.4592788,52.5204601
482,Proskauer Straße,13.4630477,52.5198863
483,James-Hobrecht-Straße,13.4663972,52.5201075
484,Scheffelstraße,13.473873,52.5205517
485,Scheffelstraße,13.474128,52.5204942
486,Oderbruchstraße,13.4614668,52.530501
487,Judith-Auer-Straße,13.4676978,52.5340748
488,Arendsweg,13.5045091,52.5348368
489,Dingelstädter Straße,13.5251461,52.5368454
490,Schalkauer Straße,13.5094071,52.5351151
491,Altenhofer Straße,13.480385,52.534902
492,Oberseestraße,13.4978874,52.5469426
493,Anton-Saefkow-Platz,13.4689825,52.5281596
494,Herzbergstraße/Industriegebiet,13.4897656,52.5265974
495,Kleingartenanlage Bielefeldt,13.5192897,52.5188045
496,S Friedrichsfelde Ost,13.5190234,52.5139753
497,Roederplatz,13.4795986,52.5270931
498,Alt-Friedrichsfelde/Rhinstraße,13.5189315,52.5100917
499,Criegernweg,13.52173,52.5005867
500,Marksburgstraße,13.5269579,52.4867994
501,Treskowallee/HTW,13.5264678,52.4929123
502,U Tierpark,13.5241639,52.4964388
503,Alfred-Kowalke-Straße,13.5198488,52.5056038
504,Virchow-Klinikum,13.3389703,52.5436415
505,Berliner Allee/Rennbahnstraße,13.4656872,52.5573986
506,Berliner Allee/Rennbahnstraße,13.4653844,52.5575657
507,Marzahner Promenade,13.5485317,52.5426977
508,Marzahner Promenade,13.5494306,52.5429307
509,Adersleber Weg,13.5600838,52.5376742
510,Alt-Marzahn,13.5635092,52.5417781
511,Friedrich-Ludwig-Jahn-Sportpark,13.4057883,52.5408998
512,Gedenkstätte Berliner Mauer,13.3905139,52.5357345
513,S Nordbahnhof,13.3875897,52.5323318
514,U Bernauer Straße,13.3964824,52.5384311
515,Wolliner Straße,13.4012039,52.5396897
516,Wolliner Straße,13.4020576,52.5399966
517,U Bernauer Straße,13.3954653,52.5380716
518,Bürgerpark Marzahn,13.5617322,52.550577
519,Max-Herrmann-Straße,13.5658757,52.5540951
520,Betriebshof Marzahn,13.5815651,52.5487647
521,Brodowiner Ring,13.5779591,52.5478226
522,Landsberger Chaussee/Zossener Straße,13.5869065,52.5486256
523,Michendorfer Straße,13.5867347,52.5455926
524,Alte Hellersdorfer Straße/Zossener Straße,13.5920459,52.5448698
525,Zossener Straße/Kastanienallee,13.5982956,52.5440155
526,Stendaler Straße/Zossener Straße,13.6033771,52.5437918
527,Stendaler Straße/Zossener Straße,13.6034175,52.5433448
528,Stendaler Straße/Quedlinburger Straße,13.6042999,52.5394032
529,U Hellersdorf,13.6052636,52.5360594
530,Nossener Straße,13.6084404,52.533407
531,Jenaer Straße,13.6150858,52.5319883
532,Nossener Straße,13.6109001,52.5328615
533,Riesaer Straße/Louis-Lewin-Straße,13.6218539,52.5305657
534,Stahlheimer Straße/Wisbyer Straße,13.425432,52.5525647
535,Barnimplatz,13.574395,52.5679547
536,Niemegker Straße,13.5714494,52.5646318
537,S Marzahn,13.5425363,52.5422857
538,S Marzahn,13.5419279,52.5424883
539,Genslerstraße,13.4967837,52.534413
540,Prenzlauer Allee/Danziger Straße,13.4234701,52.5392903
541,Marienburger Straße,13.4216853,52.5349161
542,Knaackstraße,13.4205323,52.5329754
543,Prenzlauer Allee/Metzer Straße,13.419204,52.5308286
544,Mollstraße/Prenzlauer Allee,13.4161078,52.5274326
545,S+U Alexanderplatz/Memhardstraße,13.4110773,52.5233439
546,Allee der Kosmonauten/Rhinstraße,13.5196246,52.5249862
547,Holteistraße,13.4667506,52.5090768
548,Gehrenseestraße,13.5092658,52.5513534
549,Bersarinplatz,13.4542505,52.5189734
550,Forckenbeckplatz,13.4585731,52.5201985
551,Falkenberg,13.5276714,52.5700498
552,Köpenicker Chaussee/Blockdammweg,13.5016748,52.4832902
553,Köpenicker Chaussee/Blockdammweg,13.5020856,52.4833627
554,Stühlinger Straße,13.5209365,52.4800997
555,Kosanke-Siedlung,13.4843647,52.4973878
556,S Rummelsburg,13.4772416,52.5006326
557,Bellevuestraße,13.5937857,52.4530499
558,Mühlweg,13.6128612,52.4541676
559,Wassersportzentrum,13.6085751,52.4492553
560,Westendsiedlung,13.6082703,52.453131
561,Virchowstraße,13.4420765,52.525766
562,Virchowstraße,13.4420406,52.5258387
563,Zechliner Straße,13.4874733,52.5339761
564,Allee der Kosmonauten/Rhinstraße,13.5183775,52.5260364
565,Platz der Vereinten Nationen,13.4326457,52.5232658
566,Klinikum im Friedrichshain,13.4398394,52.5240678
567,Mollstraße/Otto-Braun-Straße,13.4204264,52.5249466
568,S Landsberger Allee,13.4557828,52.5285325
569,S+U Alexanderplatz/Gontardstraße,13.4110566,52.5212168
570,Drontheimer Straße,13.3779272,52.5563997
571,Grüntaler Straße,13.3901361,52.5554268
572,Louise-Schroeder-Platz,13.3659989,52.5570165
573,U Osloer Straße,13.3726128,52.5567783
574,Osram-Höfe,13.3579372,52.553567
575,U Seestraße,13.3510635,52.5499916
576,Seestraße/Amrumer Straße,13.3443738,52.5464818
577,Schönfließer Straße,13.4090846,52.554074
578,Gewerbepark Georg Knorr,13.5335835,52.5389551
579,Landsberger Allee/Rhinstraße,13.5187745,52.5357368
580,Humannplatz,13.4213646,52.5493627
581,Stahlheimer Straße/Wisbyer Straße,13.4243608,52.5521431
582,Stargarder Straße,13.4189621,52.5471362
583,Raumerstraße,13.4150678,52.5435454
584,Bahnhofstraße/Lindenstraße,13.572684,52.4505094
585,S Oranienburger Straße,13.3924023,52.5251144
586,Mollstraße/Otto-Braun-Straße,13.4193797,52.5253884
587,Alte Försterei,13.5638379,52.456506
588,Freizeit- und Erholungszentrum,13.5441238,52.4574497
589,Ostendstraße,13.5338473,52.4572322
590,Rathenaustraße/HTW,13.5256803,52.458819
591,Nixenstraße,13.550718,52.4563907
592,Freiheit,13.576083,52.4466212
593,Riesaer Straße,13.6240653,52.5296427
594,Betriebshof Lichtenberg,13.4994454,52.5206411
595,Ev. Krankenhaus KEH,13.508866,52.5254877
596,Siegfriedstraße/Josef-Orlopp-Straße,13.4996388,52.5236942
597,Herzbergstraße/Siegfriedstraße,13.4996921,52.5253898
598,Allee der Kosmonauten/Rhinstraße,13.5186756,52.5259894
599,Falkenberger Straße/Berliner Allee,13.4676381,52.5548156
600,Buschallee,13.4699582,52.5536757
601,Freiaplatz,13.4985788,52.5154751
602,Gotlindestraße,13.4992303,52.5179705
603,S+U Lichtenberg/Gudrunstraße,13.499568,52.5121919
604,Fanningerstraße,13.4982207,52.5143097
605,James-Hobrecht-Straße,13.4684045,52.5203018
606,Guntherstraße,13.5020318,52.513601
607,Hermann-Hesse-Straße/Waldstraße,13.4020889,52.5806125
608,Freienwalder Straße,13.4929992,52.5443517
609,Judith-Auer-Straße,13.4680099,52.5341801
610,Werneuchener Straße,13.4890554,52.5422889
611,Oberseestraße,13.498184,52.5470466
612,Krankenhaus Köpenick/Südseite,13.5916396,52.4390415
613,Pablo-Neruda-Straße,13.586986,52.440604
614,Betriebshof Köpenick,13.5817821,52.4401326
615,Dregerhoffstraße,13.5852586,52.4274137
616,Lienhardweg,13.5879004,52.4217052
617,Mayschweg,13.5823671,52.4368845
618,Müggelbergallee,13.5885659,52.4194993
619,Müggelheimer Straße/Wendenschloßstraße,13.5810712,52.4430866
620,Pritstabelstraße,13.5838771,52.4306362
621,Segewaldweg,13.5828568,52.4343305
622,Zur Nachtheide,13.5864837,52.4248423
623,Rhinstraße/Plauener Straße,13.513773,52.540168
624,Friedrich-Ludwig-Jahn-Sportpark,13.4065488,52.5409885
625,Mollstraße/Prenzlauer Allee,13.4167855,52.5265183
626,Karl-Lade-Straße,13.4626679,52.5292356
627,Hegemeisterweg,13.5201087,52.4739371
628,Rummelsburger Straße/Edisonstraße,13.5138227,52.4682289
629,Rummelsburger Straße/Edisonstraße,13.5135217,52.4679531
630,Volkspark Wuhlheide,13.5169533,52.4709069
631,Würtzstraße,13.424869,52.5761572
632,Mendelstraße,13.4195974,52.575075
633,Am Faulen See,13.4947298,52.5505971
634,Degnerstraße/Suermondtstraße,13.4982063,52.5497942
635,Tschaikowskistraße,13.3988199,52.5756602
636,Tschaikowskistraße,13.3984917,52.5763518
637,Orankestrand,13.485843,52.5523225
638,Brückenstraße,13.5121185,52.4586564
639,Brückenstraße,13.5110528,52.4575996
640,S Schöneweide,13.5110449,52.4553413
641,Sterndamm/Königsheideweg,13.5066707,52.4467799
642,Haeckelstraße,13.5052638,52.4402944
643,Haeckelstraße,13.5057814,52.4408029
644,Haeckelstraße,13.5061522,52.4417413
645,Herweghstraße,13.5055404,52.4442228
646,Mühlbergstraße,13.503402,52.4416656
647,Johannisthal Kirche,13.5039451,52.4443557
648,Spindlersfelder Straße,13.559221,52.4559817
649,Betriebshof Lichtenberg,13.4993269,52.5194799
650,Wilhelminenhofstraße/Edisonstraße,13.513617,52.4625068
651,S Friedrichshagen,13.6254085,52.4562846
652,Josef-Nawrocki-Straße,13.6280082,52.4467168
653,Altes Wasserwerk,13.6404401,52.4482732
654,Bruno-Wille-Straße,13.6320147,52.4468821
655,Altes Wasserwerk,13.6391517,52.4480148
656,Bruno-Wille-Straße,13.6324214,52.4469814
657,Spreestraße,13.6149947,52.4472351
658,Behaimstraße,13.4469259,52.5497421
659,Behaimstraße,13.4467563,52.5498427
660,Friesickestraße,13.4403417,52.5518541
661,Gustav-Adolf-Straße/Langhansstraße,13.4352568,52.5534746
662,Gustav-Adolf-Straße/Langhansstraße,13.4343757,52.5536867
663,Heizkraftwerk Klingenberg,13.4963382,52.4877427
664,Richtershorn,13.6246617,52.4013919
665,Brunnenstraße/Invalidenstraße,13.3993883,52.5319527
666,Pappelplatz,13.3945079,52.5322699
667,Herzbergstraße/Industriegebiet,13.4906081,52.5265467
668,Gustav-Holzmann-Straße,13.4904967,52.4932974
669,Helene-Weigel-Platz,13.5429853,52.5258954
670,Hirschgarten,13.6002344,52.4519532
671,Blockdammweg,13.5096509,52.4842911
672,Regattastraße/Sportpromenade,13.5976825,52.4105463
673,Regattatribünen,13.5880838,52.4114267
674,S Grünau,13.574676,52.4134882
675,Strandbad Grünau,13.603986,52.4087096
676,Wassersportallee,13.5798925,52.4163318
677,Wassersportallee,13.5800196,52.4163494
678,Raumerstraße,13.4158316,52.5443197
679,Rosenthal Nord,13.372887,52.5985162
680,Alt-Schmöckwitz,13.6490239,52.3757057
681,Zum Seeblick,13.6436314,52.3796025
682,S+U Hauptbahnhof,13.3694391,52.5264969
683,Mahlsdorf-Süd,13.5984757,52.4740854
684,Schwedter Straße,13.4075076,52.5365045
685,Humannplatz,13.4217069,52.5497496
686,U Rosenthaler Platz,13.4016121,52.5301769
687,Stargarder Straße,13.4189937,52.5472432
688,Zionskirchplatz,13.4055497,52.5344603
689,Am Kupfergraben,13.393743,52.5192077
690,Am Friedrichshain,13.4246058,52.528854
691,S Köpenick,13.5805696,52.4590008
692,Hirtestraße,13.5838302,52.4590446
693,Schappachstraße,13.6320251,52.3943456
694,Schappachstraße,13.6317399,52.3946578
695,S Mahlsdorf,13.6112093,52.5112122
696,Rahnsdorfer Straße,13.6128987,52.4983047
697,Rahnsdorfer Straße,13.613101,52.4985173
698,Friedrich-Engels-Straße/Eichenstraße,13.3903368,52.5848969
699,Friedrich-Engels-Straße/Eichenstraße,13.3902725,52.5851201
700,Niederbarnimstraße,13.458491,52.5126725
701,Bernhard-Bästlein-Straße,13.4825593,52.5267353
702,Heinrich-Böll-Straße,13.4017828,52.5875526
703,Schönfließer Straße,13.408422,52.5540838
704,Mahlsdorf-Süd,13.5986686,52.4739802
705,Mittelheide,13.5840398,52.4637631
706,Unter den Birken,13.5893611,52.4701961
707,Wongrowitzer Steig,13.5855872,52.4671864
708,Lüneburger Straße,13.3617622,52.5231079
709,Clara-Jaschke-Straße,13.3662249,52.5251513
710,Lesser-Ury-Weg,13.3620668,52.5242203
711,Brunnenstraße/Invalidenstraße,13.3974236,52.5324696
712,Invalidenpark,13.3763504,52.5286126
713,Invalidenpark,13.3770736,52.5287568
714,Bammelecke,13.6206513,52.4059355
715,U Frankfurter Tor,13.4537843,52.5154611
716,S+U Lichtenberg/Gudrunstraße,13.5005323,52.5125804
717,Albertinenstraße,13.4573678,52.5497059
718,Marktstraße,13.4746652,52.5028509
719,U Naturkundemuseum,13.3820921,52.5303003
720,Bammelecke,13.6205655,52.4059861
721,S+U Hauptbahnhof,13.3700051,52.5266408
722,Dregerhoffstraße,13.585176,52.4277039
723,Lienhardweg,13.5879086,52.4218815
724,Mayschweg,13.5823576,52.4372092
725,Müggelbergallee,13.5890184,52.4184757
726,Pritstabelstraße,13.5839789,52.4304209
727,Segewaldweg,13.582801,52.4347038
728,Zur Nachtheide,13.5864658,52.4249674
729,Wilhelminenhofstraße/Edisonstraße,13.513643,52.461541
730,Bahnhofstraße/Seelenbinderstraße,13.5765543,52.455012
731,Ostendstraße,13.5339625,52.4572127
732,Weiskopffstraße,13.5399712,52.4575986
733,Brandenburgplatz,13.5905123,52.4553358
734,Brandenburgplatz,13.5908676,52.4553158
735,Gotlindestraße,13.4991322,52.5178145
736,Herzbergstraße/Siegfriedstraße,13.499036,52.52637
737,U Naturkundemuseum,13.3827302,52.5304158
738,Proskauer Straße,13.4634375,52.5198524
739,Stechlinstraße,13.5164286,52.4820547
740,Stühlinger Straße,13.5202679,52.4803668
741,S Nordbahnhof,13.3887147,52.531658
742,S Nordbahnhof,13.3890774,52.5316655
743,Brunnenstraße/Invalidenstraße,13.3995725,52.532764
744,Heinrich-Böll-Straße,13.4017289,52.5875177
745,Werneuchener Straße,13.4902215,52.5429295
746,U Rosenthaler Platz,13.402598,52.5297484
747,U Rosenthaler Platz,13.4017174,52.5302529
748,Ahornallee,13.6189045,52.4556007
749,Drachholzstraße,13.6250286,52.4538047
750,Drachholzstraße,13.62517,52.454483
751,Josef-Nawrocki-Straße,13.6285669,52.4466984
752,Marktplatz Friedrichshagen,13.6246858,52.4508404
753,Marktplatz Friedrichshagen,13.6247417,52.4508226
754,Müggelseedamm/Bölschestraße,13.6242974,52.4474151
755,Müggelseedamm/Bölschestraße,13.6243696,52.4476961
756,S Friedrichshagen,13.6253656,52.4564126
757,S Friedrichshagen,13.6264675,52.4568662
758,S Friedrichshagen,13.6261676,52.4569002
759,Gelnitzstraße,13.5847652,52.4553906
760,Gelnitzstraße,13.5850479,52.45543
761,Müggelheimer Straße/Wendenschloßstraße,13.5812285,52.4429928
762,Alt-Mahlsdorf,13.6132612,52.5053424
763,Bruchsaler Straße,13.6060968,52.4889553
764,Bütower Straße,13.603978,52.486104
765,Eichenhofweg,13.6078903,52.4914085
766,Hultschiner Damm/Seestraße,13.6004398,52.4768942
767,Ledebourstraße,13.609508,52.4936827
768,Roseggerstraße,13.6009017,52.4802773
769,Wilhelmsmühlenweg,13.6130109,52.5082644
770,Alt-Schmöckwitz,13.6491829,52.3747509
771,Betriebshof Köpenick,13.5817824,52.4399134
772,Herzbergstraße/Siegfriedstraße,13.4976022,52.5264353
773,Roederplatz,13.4794893,52.5274442
774,Siegfriedstraße/Josef-Orlopp-Straße,13.4995626,52.5231484
775,Marktstraße,13.4742237,52.5029418
776,S Rummelsburg,13.4762392,52.5010558
777,Zingster Straße,13.4952579,52.5728728
778,Hufelandstraße,13.428684,52.5324521
779,Universitätsstraße,13.3917527,52.5190849
780,Björnsonstraße,13.4038986,52.5543447
781,Björnsonstraße,13.4025884,52.5553007
782,Drontheimer Straße,13.3786102,52.5563119
783,Helsingforser Platz,13.4498513,52.5084836
784,Helsingforser Platz,13.4498377,52.5085126
785,Grabbeallee/Pastor-Niemöller-Platz,13.3983016,52.578668
786,Nordend,13.4027524,52.5902104
787,Pastor-Niemöller-Platz,13.3969139,52.5802279
788,Waldemarstraße,13.4061589,52.5908173
789,Milastraße,13.4129878,52.5456515
790,Heinersdorf Kirche,13.4392285,52.5683537
791,Heinersdorf Kirche,13.4388807,52.5686799
792,Brösener Straße,13.6351363,52.4591439
793,S Friedrichshagen,13.6258286,52.4579429
794,Degnerstraße,13.4947818,52.5460383
795,Spandauer Straße/Marienkirche,13.4052519,52.5202778
796,U Naturkundemuseum,13.3834143,52.5302913
797,U Naturkundemuseum,13.3833714,52.5302814
798,U Hellersdorf,13.6050402,52.5364636
799,Alt-Schmöckwitz,13.649549,52.3752767
800,Betriebshof Köpenick,13.5818876,52.4392521
801,U Weinmeisterstraße,13.4065674,52.5252077
802,U Weinmeisterstraße,13.406737,52.5253628
803,S Schöneweide/Sterndamm,13.510566,52.4540948
804,Müggelseedamm/Bölschestraße,13.6232842,52.4467908
805,Friedrich-Ludwig-Jahn-Sportpark,13.4063047,52.5413588
806,Friedrich-Ludwig-Jahn-Sportpark,13.4062834,52.5414023
807,Betriebshof Marzahn,13.5836544,52.548716
808,Betriebshof Marzahn,13.5837011,52.5487275
809,Virchowstraße,13.4421106,52.5257322
810,Hermann-Hesse-Straße/Waldstraße,13.4013183,52.5805068
811,Simon-Bolivar-Straße,13.4834078,52.5394437
812,Sandinostraße,13.4792644,52.5379687
813,Hohenschönhauser Straße,13.4747282,52.5364828
814,Hohenschönhauser Straße,13.4748251,52.5364787
815,S Grünau,13.5753023,52.4142958
816,S Karlshorst,13.5253654,52.4813483
817,Traberweg,13.5233752,52.47696
818,Traberweg,13.5238052,52.4773172
819,Treskowallee/Ehrlichstraße,13.5232886,52.4790566
820,Treskowallee/Ehrlichstraße,13.5234316,52.4789566
821,Landschaftspark Johannisthal,13.5259118,52.4369716
822,Landschaftspark Johannisthal,13.5266116,52.4373427
823,Gerhard-Sedlmayr-Straße,13.5241873,52.439713
824,Gerhard-Sedlmayr-Straße,13.5237642,52.4400489
825,Benno-König-Straße,13.5197585,52.4427273
826,Benno-König-Straße,13.5193016,52.4430813
827,Landfliegerstraße,13.5150447,52.4459647
828,Landfliegerstraße,13.5146615,52.4462951
829,Nieberstraße,13.5114664,52.4493253
830,Nieberstraße,13.5116694,52.4490251
831,Siemensstraße/Nalepastraße,13.5094284,52.4634812
